species,G1,GE,J1,JE,MP1,MPE
Mammaliicoccus sciuri,4708.142881,391.5298381,1571.708086,5170.14898,1138.264313,312.9187935
Staphylococcus saprophyticus,94.00808904,562.8361315,44.85837862,73.32670866,95.49722715,3348.470449
Comamonas testosteronii,1338.971642,107.0387932,686.4497333,1801.72398,528.9124082,133.6839959
Stenotrophomonas maltophilia,597.8938561,900.4751856,257.7582503,563.5226884,182.233269,38.96062916
Brachybacterium conglomeratum,101.1800083,21.75704625,43.63035134,111.3619798,56.69642632,0
Salmonella enterica,126.2578017,57.01129558,26.20970213,84.17504349,0,70.94397913
Brevundimonas diminuta,29.4735418,26.70651339,29.00672118,25.09039152,0,18.9999902
Staphylococcus saccharolyticus,52.25546167,42.43885696,0,0,496.0638288,38.19578102
Acinetobacter septicus,0,10,0,0,20,21
Staphylococcus ureilyticus,25.05695354,20.29587446,0,40.17817669,70.60357737,1636.236504
Staphylococcus taiwanensis,0,0,0,17.23505465,73.8820664,25.83173151
Brevibacterium sanguinis,35.1224037,0,0,71.16899417,19.27267241,16.9224941
Serratia marcescens,22.00354689,16,0,45.73397602,42.13830413,0
Bacillus subtilis,53.99999962,50.02285425,0,0,0,30.98900954
Clostridium tertium,14.02251004,55.80107987,0,0,0,0
Empedobacter brevis,35.87403786,0,12.9990273,16.21711382,12,0
Staphylococcus succinus,0,45.89581601,0,16.12371747,0,202.908626
Acinetobacter junii,0,0,0,0,0,35.0000005
Mammaliicoccus vitulinus,38.52533622,0,0,68.32264385,12.8378073,0
Citrobacter murliniae,34.47184421,0,0,60.99457958,32.35209536,0
Aeromonas caviae,24.14915376,0,0,22.31353781,20.16657276,0
Aeromonas hydrophila,0,0,0,18.71160659,35.84314503,0
Neisseria sicca,0,0,0,0,0,20.99691883
Alcaligenes faecalis,13.45953471,0,0,0,0,0
Brevibacterium luteolum,26.35906437,0,0,15.78419989,0,0
Paracoccus yeei,37.7426878,0,0,0,0,0
Bordetella holmesii,0,18.95246415,0,43.05199111,0,0
Clostridium sardiniense,0,51.00028476,0,25.36407679,0,0
Mammaliicoccus lentus,0,0,0,13.93972981,0,0
Enterobacter cloacae,0,0,0,17.32269034,0,0
Bordetella hinzii,0,0,0,21.33690589,0,0
Bordetella petrii,0,0,0,23.28632184,0,0
Brevibacterium casei,0,0,0,16.07316757,0,0
Staphylococcus capitis,0,0,0,0,19.59306966,0
Staphylococcus caprae,0,0,0,0,111.6527784,0
Staphylococcus hominis,0,0,0,0,171.6563219,0
Moraxella atlantae,0,0,0,0,36.01586783,0
Escherichia fergusonii,0,0,0,0,22.88989376,0
Klebsiella pneumoniae,0,0,0,0,33.15414069,0
Corynebacterium fournieri,0,0,0,0,54.99555963,0
Corynebacterium tuberculostearicum,0,0,0,0,19.98932718,0
Cutibacterium acnes,0,0,0,0,182.7043499,0
Cutibacterium granulosum,0,0,0,0,13,0
Finegoldia magna,0,0,0,0,33,0
